DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,sa,sd,pred25
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.039998769760131836,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5069049129935037,0.4175659043628997,0.23197648123021258
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.040993690490722656,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5075975102699859,0.41627178381358,0.23188602442333783
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.0402064323425293,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5074659118568544,0.41605667290741416,0.23491632745364086
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.04545283317565918,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5067184574110747,0.4184586315066784,0.23799185888738128
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.04199862480163574,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5075958188139031,0.41670980241417405,0.23188602442333783
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.05000019073486328,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5393959662369932,0.49761546927284533,0.22568973315241975
effort/china.csv,0,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'pred25']",0.04836130142211914,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7273235304089737, 'la__gamma': 0.3042826428545889, 'la__C': 7983.072111388039, 'la__epsilon': 0.7781815587273209}",0.5068278392403279,0.4180652599064465,0.23491632745364086
effort/china.csv,0,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'pred25']",0.04199790954589844,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7372428027056649, 'la__gamma': 0.22481480839982043, 'la__C': 11952.294515212456, 'la__epsilon': 0.8307091995800733}",0.5390397376644331,0.49603784582496646,0.23170511080958844
effort/china.csv,0,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'pred25']",0.047003746032714844,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7372428027056649, 'la__gamma': 0.22481480839982043, 'la__C': 11952.294515212456, 'la__epsilon': 0.8307091995800733}",0.5056995636216186,0.41238783497993464,0.23496155585707826
effort/china.csv,0,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'pred25']",0.04500460624694824,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7372428027056649, 'la__gamma': 0.22481480839982043, 'la__C': 11952.294515212456, 'la__epsilon': 0.8307091995800733}",0.5413730199263509,0.495467597870643,0.216644052464948
effort/china.csv,0,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'pred25']",0.03999900817871094,"{'la__kernel': 'poly', 'la__degree': 3, 'la__coef0': 0.7372428027056649, 'la__gamma': 0.22481480839982043, 'la__C': 11952.294515212456, 'la__epsilon': 0.8307091995800733}",0.5403465551683705,0.49447687378622956,0.22265943012211667
