Iteration,PT,Params?,SA+,SD+,Pred25+
1,random search,"{'la__degree': 3, 'la__coef0': 0.05655735834212222, 'la__gamma': 0.15686873427799847, 'la__C': 399.08148214313354, 'la__epsilon': 0.9207936662984654, 'la__kernel': 'rbf'}",-0.119865807290298,0.0916751660624536,0.24
1,random search,"{'la__degree': 3, 'la__coef0': 0.05655735834212222, 'la__gamma': 0.15686873427799847, 'la__C': 399.08148214313354, 'la__epsilon': 0.9207936662984654, 'la__kernel': 'rbf'}",0.0232613005507579,0.226059522320944,0.2
1,random search,"{'la__degree': 3, 'la__coef0': 0.05655735834212222, 'la__gamma': 0.15686873427799847, 'la__C': 399.08148214313354, 'la__epsilon': 0.9207936662984654, 'la__kernel': 'rbf'}",-0.152679158886069,-0.100322811859975,0.28
1,random search,"{'la__degree': 3, 'la__coef0': 0.05655735834212222, 'la__gamma': 0.15686873427799847, 'la__C': 399.08148214313354, 'la__epsilon': 0.9207936662984654, 'la__kernel': 'rbf'}",-0.119971424999985,0.0941509963025087,0.24
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",-0.0129252606962865,0.240181962731679,0.12
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0534121215467462,0.192865671232011,0.2
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0709030926662227,0.146595300554828,0.24
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0640780264228973,0.257568741119315,0.08
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0679274154647961,0.227260879107088,0.08
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0734980802116116,0.177644348061275,0.12
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0255572712631532,0.222494820460776,0.16
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.075879993786768,0.164150109726146,0.2
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0663770701788036,0.186539607715079,0.2
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0351487527782007,0.202621229113743,0.2
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0764772587876333,0.162038258783142,0.2
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0716246582939665,0.176087930718178,0.2
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0652159316667885,0.187305515052566,0.2
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0683900254865442,0.179677134822873,0.2
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0286972576584413,0.20978675382443,0.16
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0459160356398423,0.199713956659872,0.16
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.00137765681819615,0.235484854903727,0.16
1,sway,"{'la__degree': 4, 'la__coef0': 0.9138493366334145, 'la__gamma': 0.24582007296848193, 'la__C': 249.91371510521046, 'la__epsilon': 0.7720044462777179, 'la__kernel': 'rbf'}",0.0673758856574064,0.138982403980932,0.28
