DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,mar,sa,sdar,sd,effect size,mmre,pred25,Models built,Best params
effort/china.csv,8,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",417.717340230942,,1925.60187139402,0.532766346141324,2838.92309755126,0.506098800232761,0.382057067167833,1.35713508343317,0.180722891566265,3000,pareto front
effort/china.csv,8,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",422.806113004685,,1973.68755856327,0.521098694770519,2903.83035523298,0.49417462306388,0.374959576669023,1.41005535063065,0.156626506024096,3000,pareto front
effort/china.csv,8,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",590.814352035522,,1947.34825867675,0.52748973931035,2816.99865877056,0.506890962368598,0.378650917570638,1.39458877789942,0.186746987951807,4200,pareto front
effort/china.csv,9,none,minmax,none,svr,default,None,0.253156900405884,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",2830.11708047258,0.365915389151461,5964.31359933744,0.244000820419639,0.208324341321757,1.68707913299522,0.125748502994012,,
effort/china.csv,9,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",10.7596912384033,,2266.26797042736,0.492245160448633,4500.1043057332,0.427676360573431,0.278516904078085,1.21325791932613,0.215568862275449,192,pareto front
effort/china.csv,9,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",72.0901937484741,,2247.74716219508,0.496394727108471,4801.85475714098,0.389049400872444,0.283567889677752,1.10404989264107,0.197604790419162,60,pareto front
effort/china.csv,9,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",436.752128839493,,2221.3957860823,0.502298723866444,4589.9051366184,0.411986068208995,0.286035722662355,1.06700138814215,0.197604790419162,3072,pareto front
effort/china.csv,9,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",413.147232294083,,2251.89911104377,0.49546448754766,4813.30356843844,0.391073147127946,0.2827761980135,1.10409342943414,0.203592814371257,3000,pareto front
effort/china.csv,9,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",417.980822563171,,2215.47337413737,0.503625633731516,4559.60254016123,0.416422801317963,0.285721047854823,1.12062188375442,0.239520958083832,3000,pareto front
effort/china.csv,9,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",591.852748632431,,2211.74811273808,0.504460274439837,4633.03529152505,0.411231941198175,0.286285010700877,1.05726380151432,0.221556886227545,4200,pareto front
effort/china.csv,10,none,minmax,none,svr,default,None,0.255810499191284,"{'la__kernel': 'rbf', 'la__degree': 3, 'la__coef0': 0.0, 'la__gamma': 'scale', 'la__C': 1.0, 'la__epsilon': 0.1}",2722.0693662441,0.366544231347752,4840.86623978315,0.216808107796553,0.256536719621059,1.55330423047762,0.210843373493976,,
effort/china.csv,10,none,minmax,none,svr,random search,"['sa', 'sd', 'effect size', 'pred25']",10.8824315071106,,1937.87386800281,0.549035231860898,3131.93929021073,0.492007348562553,0.382107601220606,1.13092331814033,0.253012048192771,192,pareto front
effort/china.csv,10,none,minmax,none,svr,sway,"['sa', 'sd', 'effect size', 'pred25']",72.8527534008026,,2115.9934175843,0.50758483475077,3606.86783960057,0.413806036716293,0.354493201704877,1.07507079628102,0.180722891566265,66,pareto front
effort/china.csv,10,none,minmax,none,svr,tpe,"['sa', 'sd', 'effect size', 'pred25']",433.113903999329,,2108.15990901965,0.509407779180694,3003.54714762963,0.51287963067964,0.353967711418142,1.12996408832296,0.174698795180723,3072,pareto front
effort/china.csv,10,none,minmax,none,svr,nsga-ii,"['sa', 'sd', 'effect size', 'pred25']",414.1566593647,,2138.25559477129,0.502404178909762,3760.91792389466,0.388490513623479,0.350537861493036,1.07944369990299,0.174698795180723,3000,pareto front
effort/china.csv,10,none,minmax,none,svr,nsga-iii,"['sa', 'sd', 'effect size', 'pred25']",414.587415218353,,1996.47007325049,0.535399244220183,3307.6391820175,0.46363022528751,0.373213058649202,1.10632647902465,0.204819277108434,3000,pareto front
effort/china.csv,10,none,minmax,none,svr,moead,"['sa', 'sd', 'effect size', 'pred25']",582.940235376358,,2168.89731078291,0.495273511333958,3098.35740504546,0.496848988097869,0.344808023427752,1.37639878950664,0.192771084337349,4200,pareto front
