ds,pp,pt,m,rank,q0,q1,q2,q3,q4
adult,fairsmote,de,precision,4,0.0,0.519927536231884,0.528703703703704,0.536636013052507,0.553473344103393
adult,none,default,precision,3,0.704491725768322,0.719053398058252,0.726666666666667,0.732329084588644,0.749846719803801
adult,none,de,precision,2,0.0,0.765432098765432,0.780155642023346,0.826163301141352,0.977391304347826
adult,none,random,precision,1,0.756225425950197,0.778947368421053,0.796334012219959,0.936507936507936,0.974522292993631
adult,none,random,recall,6,0.189556823168056,0.234845273420941,0.431041936878513,0.481497993758359,0.516829995739242
adult,none,de,recall,5,0.0,0.292124945006599,0.479388015299617,0.495125052988554,0.512569237324244
adult,none,default,recall,4,0.504725085910653,0.51807741386644,0.524731182795699,0.532250987275121,0.547840812870449
adult,fairsmote,default,recall,3,0.704877032096707,0.729194187582563,0.737204301075269,0.742224115892629,0.756016597510373
adult,fairsmote,de,recall,2,0.0,0.734554750745633,0.743418303384873,0.753653444676409,1.0
adult,fairsmote,random,recall,1,0.693056731583404,0.725981620718463,0.746058798466127,0.752647183396866,0.770905923344948
adult,none,random,spd-race,1,0.013185902113685,0.025431776243495,0.066455071237128,0.07950514797366,0.097142380775086
adult,none,de,spd-race,1,0.0,0.045259892335105,0.070806206953329,0.085408514912079,0.105681025230688
adult,none,default,spd-race,2,0.058028617584229,0.082775806803183,0.086467460121755,0.095391736908706,0.112301248435509
adult,fairsmote,de,spd-race,2,0.0,0.074734521557045,0.088857543701529,0.101878332422265,0.128108296580678
adult,fairsmote,random,spd-race,2,0.013862523426637,0.079622243400437,0.08912794998323,0.106182587671095,0.120917045054011
adult,fairsmote,default,spd-race,2,0.017362916389578,0.076260400778358,0.093283022477951,0.102347373605431,0.124999872280207
