ds,pp,pt,m,val,rank
adult,fairsmote,de,d2h1,0.353563007622982,2.0
adult,fairsmote,de,d2h2,0.168302072172473,1.0
adult,fairsmote,de,d2h2,0.167590610599921,1.0
adult,fairsmote,de,d2h2,0.193283702658168,1.0
adult,fairsmote,de,d2h2,0.168930049325505,1.0
adult,fairsmote,de,d2h2,0.130019695464743,1.0
adult,fairsmote,de,d2h2,0.171462897514356,1.0
adult,fairsmote,de,d2h2,0.176449682800402,1.0
adult,fairsmote,de,d2h2,0.162651909249742,1.0
adult,fairsmote,de,d2h2,0.162555902132588,1.0
adult,fairsmote,de,d2h2,0.201543997283641,1.0
adult,fairsmote,de,d2h2,0.149121816343772,1.0
adult,fairsmote,de,d2h2,0.167888225099257,1.0
adult,fairsmote,de,d2h2,0.14207615005676,1.0
adult,fairsmote,de,d2h2,0.179204860507782,1.0
adult,fairsmote,de,d2h2,0.154329956484312,1.0
adult,fairsmote,de,d2h2,0.143489090278475,1.0
adult,fairsmote,de,d2h2,0.177325714799617,1.0
adult,fairsmote,de,d2h2,0.180979334275598,1.0
adult,fairsmote,de,d2h2,0.175942193063297,1.0
adult,fairsmote,de,d2h2,0.151597441712929,1.0
adult,fairsmote,de,d2h2,0.132627987178127,1.0
adult,fairsmote,de,d2h2,0.17734431493025,1.0
adult,fairsmote,de,d2h2,0.447213595499958,1.0
adult,fairsmote,de,d2h2,0.120920745037313,1.0
adult,fairsmote,de,d2h2,0.179765103562511,1.0
adult,fairsmote,de,d2h2,0.193697691465327,1.0
adult,fairsmote,de,d2h2,0.148410378901086,1.0
adult,fairsmote,de,d2h2,0.171139716182963,1.0
adult,fairsmote,de,d2h2,0.183642001618478,1.0
adult,fairsmote,de,d2h2,0.142289467923912,1.0
adult,fairsmote,de,d2h2,0.138240322953579,1.0
adult,fairsmote,de,d2h2,0.0,1.0
adult,fairsmote,de,d2h2,0.170156025795505,1.0
adult,fairsmote,de,d2h2,0.15601231993808,1.0
adult,fairsmote,de,d2h2,0.188003233535385,1.0
adult,fairsmote,de,d2h2,0.197663204030691,1.0
adult,fairsmote,de,d2h2,0.132430058658511,1.0
adult,fairsmote,de,d2h2,0.165122568696183,1.0
adult,fairsmote,de,d2h2,0.0,1.0
adult,fairsmote,de,d2h2,0.17630268046776,1.0
adult,fairsmote,de,d2h2,0.179030067329512,1.0
adult,fairsmote,de,d2h2,0.155512449704641,1.0
adult,fairsmote,de,d2h2,0.165371370153362,1.0
adult,fairsmote,de,d2h2,0.126673968754565,1.0
adult,fairsmote,de,d2h2,0.136969458247815,1.0
adult,fairsmote,de,d2h2,0.187602489236061,1.0
adult,fairsmote,de,d2h2,0.181075505263632,1.0
adult,fairsmote,de,d2h2,0.191512602748574,1.0
adult,fairsmote,de,d2h2,0.102031337698842,1.0
adult,fairsmote,de,d2h2,0.181002841088553,1.0
adult,fairsmote,de,d2h3,0.231326756358012,1.0
adult,fairsmote,de,d2h3,0.230467668876083,1.0
adult,fairsmote,de,d2h3,0.248692283975703,1.0
adult,fairsmote,de,d2h3,0.233408398861907,1.0
adult,fairsmote,de,d2h3,0.219201715476101,1.0
adult,fairsmote,de,d2h3,0.235754753397903,1.0
adult,fairsmote,de,d2h3,0.234933279044589,1.0
adult,fairsmote,de,d2h3,0.232513194362169,1.0
adult,fairsmote,de,d2h3,0.233022296639446,1.0
adult,fairsmote,de,d2h3,0.24793818000242,1.0
adult,fairsmote,de,d2h3,0.225220394437743,1.0
adult,fairsmote,de,d2h3,0.239154609230055,1.0
adult,fairsmote,de,d2h3,0.221277912696962,1.0
adult,fairsmote,de,d2h3,0.238758868012529,1.0
adult,fairsmote,de,d2h3,0.223879470895855,1.0
adult,fairsmote,de,d2h3,0.221571801250385,1.0
adult,fairsmote,de,d2h3,0.239660083056528,1.0
adult,fairsmote,de,d2h3,0.24034372744397,1.0
adult,fairsmote,de,d2h3,0.235617462280909,1.0
adult,fairsmote,de,d2h3,0.223928838451593,1.0
adult,fairsmote,de,d2h3,0.223465087160795,1.0
adult,fairsmote,de,d2h3,0.239577091622742,1.0
adult,fairsmote,de,d2h3,0.600970280600184,1.0
adult,fairsmote,de,d2h3,0.213356834403519,1.0
adult,fairsmote,de,d2h3,0.233899523773776,1.0
adult,fairsmote,de,d2h3,0.244155153095905,1.0
adult,fairsmote,de,d2h3,0.224463654291398,1.0
adult,fairsmote,de,d2h3,0.233147849783439,1.0
adult,fairsmote,de,d2h3,0.242393275685226,1.0
adult,fairsmote,de,d2h3,0.226632628678435,1.0
adult,fairsmote,de,d2h3,0.218210440315978,1.0
adult,fairsmote,de,d2h3,0.328146624056013,1.0
adult,fairsmote,de,d2h3,0.235354965430523,1.0
adult,fairsmote,de,d2h3,0.231648266165788,1.0
adult,fairsmote,de,d2h3,0.240088390845599,1.0
adult,fairsmote,de,d2h3,0.250197532159909,1.0
adult,fairsmote,de,d2h3,0.221081436318339,1.0
adult,fairsmote,de,d2h3,0.22829534691183,1.0
adult,fairsmote,de,d2h3,0.331769005350042,1.0
adult,fairsmote,de,d2h3,0.232432511676858,1.0
adult,fairsmote,de,d2h3,0.238814451152343,1.0
adult,fairsmote,de,d2h3,0.226556086725415,1.0
adult,fairsmote,de,d2h3,0.230018362413293,1.0
adult,fairsmote,de,d2h3,0.218700218557104,1.0
adult,fairsmote,de,d2h3,0.222127028172506,1.0
adult,fairsmote,de,d2h3,0.241993386124931,1.0
adult,fairsmote,de,d2h3,0.23749271354146,1.0
adult,fairsmote,de,d2h3,0.244604433249127,1.0
adult,fairsmote,de,d2h3,0.208553297890712,1.0
adult,fairsmote,de,d2h3,0.243141270848703,1.0
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
adult,fairsmote,de,di-age,,
