DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,sa,sd
effort/china.csv,1,none,log,none,rf,moead,"['sa', 'sd']",0.7770013809204102,"{'la__n_estimators': 73, 'la__min_samples_leaf': 10, 'la__min_impurity_decrease': 0.007357132402004038, 'la__max_depth': 9}",0.4450274188956051,0.3794946328054706
effort/china.csv,1,none,log,none,rf,moead,"['sa', 'sd']",0.7570016384124756,"{'la__n_estimators': 73, 'la__min_samples_leaf': 10, 'la__min_impurity_decrease': 0.007357132402004038, 'la__max_depth': 9}",0.4567155565344496,0.37834385224127104
effort/china.csv,2,none,log,none,rf,random search,"['sa', 'sd']",3.06724214553833,"{'la__n_estimators': 54, 'la__min_samples_leaf': 2, 'la__min_impurity_decrease': 0.015588961943889904, 'la__max_depth': 3}",0.4874141723364536,0.45723956151699197
effort/china.csv,2,none,log,none,rf,random search,"['sa', 'sd']",1.3419926166534424,"{'la__n_estimators': 54, 'la__min_samples_leaf': 2, 'la__min_impurity_decrease': 0.015588961943889904, 'la__max_depth': 3}",0.49878525655513783,0.45488979994997053
effort/china.csv,2,none,log,none,rf,random search,"['sa', 'sd']",0.752065896987915,"{'la__n_estimators': 54, 'la__min_samples_leaf': 2, 'la__min_impurity_decrease': 0.015588961943889904, 'la__max_depth': 3}",0.5087100085560088,0.44183088428773376
effort/china.csv,2,none,log,none,rf,random search,"['sa', 'sd']",1.673002004623413,"{'la__n_estimators': 54, 'la__min_samples_leaf': 2, 'la__min_impurity_decrease': 0.015588961943889904, 'la__max_depth': 3}",0.5005526892941088,0.4529403248582171
effort/china.csv,2,none,log,none,rf,tpe,"['sa', 'sd']",0.9219965934753418,"{'la__max_depth': 9, 'la__min_impurity_decrease': 0.0001, 'la__min_samples_leaf': 10, 'la__n_estimators': 10}",0.5040647797391035,0.44770895907155295
effort/china.csv,2,none,log,none,rf,tpe,"['sa', 'sd']",0.26000237464904785,"{'la__max_depth': 9, 'la__min_impurity_decrease': 0.0001, 'la__min_samples_leaf': 10, 'la__n_estimators': 10}",0.49907417426622375,0.45700421927202173
effort/china.csv,2,none,log,none,rf,tpe,"['sa', 'sd']",0.14400243759155273,"{'la__max_depth': 9, 'la__min_impurity_decrease': 0.0001, 'la__min_samples_leaf': 10, 'la__n_estimators': 10}",0.5080357405901117,0.4685904578149181
effort/china.csv,2,none,log,none,rf,nsga-ii,"['sa', 'sd']",1.7359974384307861,"{'la__n_estimators': 179, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2617890999799789, 'la__max_depth': 3}",0.5019725559639568,0.44956624312966725
effort/china.csv,2,none,log,none,rf,nsga-ii,"['sa', 'sd']",0.5099945068359375,"{'la__n_estimators': 179, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2617890999799789, 'la__max_depth': 3}",0.4940958908623072,0.45458671610797907
effort/china.csv,2,none,log,none,rf,nsga-ii,"['sa', 'sd']",3.029780626296997,"{'la__n_estimators': 179, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2617890999799789, 'la__max_depth': 3}",0.48588731936302576,0.45615564418866195
effort/china.csv,2,none,log,none,rf,nsga-ii,"['sa', 'sd']",2.30899715423584,"{'la__n_estimators': 179, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2617890999799789, 'la__max_depth': 3}",0.49851877827196844,0.454374337231362
effort/china.csv,2,none,log,none,rf,nsga-ii,"['sa', 'sd']",1.9049968719482422,"{'la__n_estimators': 179, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2617890999799789, 'la__max_depth': 3}",0.5064354474481678,0.44572118955078927
effort/china.csv,2,none,log,none,rf,nsga-ii,"['sa', 'sd']",1.9159984588623047,"{'la__n_estimators': 179, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2617890999799789, 'la__max_depth': 3}",0.5062740756239867,0.4478956590174684
effort/china.csv,2,none,log,none,rf,nsga-ii,"['sa', 'sd']",2.0010039806365967,"{'la__n_estimators': 179, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2617890999799789, 'la__max_depth': 3}",0.5023781290492739,0.4485854860581363
effort/china.csv,2,none,log,none,rf,nsga-ii,"['sa', 'sd']",2.251310348510742,"{'la__n_estimators': 179, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2617890999799789, 'la__max_depth': 3}",0.5019077530684636,0.45035069687309937
effort/china.csv,2,none,log,none,rf,nsga-ii,"['sa', 'sd']",2.2559967041015625,"{'la__n_estimators': 179, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2617890999799789, 'la__max_depth': 3}",0.5010468277861045,0.45344309525050547
effort/china.csv,2,none,log,none,rf,nsga-ii,"['sa', 'sd']",3.1111509799957275,"{'la__n_estimators': 179, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2617890999799789, 'la__max_depth': 3}",0.4877779881939238,0.4588638225340668
effort/china.csv,2,none,log,none,rf,nsga-ii,"['sa', 'sd']",2.869002342224121,"{'la__n_estimators': 179, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2617890999799789, 'la__max_depth': 3}",0.48519035943735017,0.4612642566339692
effort/china.csv,2,none,log,none,rf,nsga-ii,"['sa', 'sd']",2.114574909210205,"{'la__n_estimators': 179, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2617890999799789, 'la__max_depth': 3}",0.5022647809928097,0.44942922356159887
effort/china.csv,2,none,log,none,rf,nsga-ii,"['sa', 'sd']",1.6575160026550293,"{'la__n_estimators': 179, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.2617890999799789, 'la__max_depth': 3}",0.507124826235594,0.43824517345709835
effort/china.csv,2,none,log,none,rf,nsga-iii,"['sa', 'sd']",1.8209917545318604,"{'la__n_estimators': 101, 'la__min_samples_leaf': 2, 'la__min_impurity_decrease': 0.1383262374090254, 'la__max_depth': 5}",0.49895971578517917,0.4426173206163152
effort/china.csv,2,none,log,none,rf,nsga-iii,"['sa', 'sd']",1.1790015697479248,"{'la__n_estimators': 101, 'la__min_samples_leaf': 2, 'la__min_impurity_decrease': 0.1383262374090254, 'la__max_depth': 5}",0.5022679178162373,0.45680136256870396
effort/china.csv,2,none,log,none,rf,nsga-iii,"['sa', 'sd']",0.5219964981079102,"{'la__n_estimators': 101, 'la__min_samples_leaf': 2, 'la__min_impurity_decrease': 0.1383262374090254, 'la__max_depth': 5}",0.49852249555854805,0.4574420507571014
effort/china.csv,2,none,log,none,rf,nsga-iii,"['sa', 'sd']",0.4380016326904297,"{'la__n_estimators': 101, 'la__min_samples_leaf': 2, 'la__min_impurity_decrease': 0.1383262374090254, 'la__max_depth': 5}",0.4962397877590896,0.46284691497400043
effort/china.csv,2,none,log,none,rf,moead,"['sa', 'sd']",1.2459981441497803,"{'la__n_estimators': 98, 'la__min_samples_leaf': 2, 'la__min_impurity_decrease': 0.24977725654095148, 'la__max_depth': 6}",0.49313367014252807,0.4564332282931594
effort/china.csv,2,none,log,none,rf,moead,"['sa', 'sd']",2.7209997177124023,"{'la__n_estimators': 98, 'la__min_samples_leaf': 2, 'la__min_impurity_decrease': 0.24977725654095148, 'la__max_depth': 6}",0.46672691760915813,0.4606441950288884
effort/china.csv,2,none,log,none,rf,moead,"['sa', 'sd']",1.8949992656707764,"{'la__n_estimators': 98, 'la__min_samples_leaf': 2, 'la__min_impurity_decrease': 0.24977725654095148, 'la__max_depth': 6}",0.4995522787085479,0.4563219594806817
effort/china.csv,2,none,log,none,rf,moead,"['sa', 'sd']",1.2400007247924805,"{'la__n_estimators': 98, 'la__min_samples_leaf': 2, 'la__min_impurity_decrease': 0.24977725654095148, 'la__max_depth': 6}",0.5015272383906254,0.4511679115030323
effort/china.csv,3,none,log,none,rf,random search,"['sa', 'sd']",2.4270002841949463,"{'la__n_estimators': 192, 'la__min_samples_leaf': 6, 'la__min_impurity_decrease': 0.004505105742905989, 'la__max_depth': 3}",0.48068581531882115,0.44490602493041775
effort/china.csv,3,none,log,none,rf,random search,"['sa', 'sd']",0.5049958229064941,"{'la__n_estimators': 192, 'la__min_samples_leaf': 6, 'la__min_impurity_decrease': 0.004505105742905989, 'la__max_depth': 3}",0.4792830338708548,0.4489233114371933
effort/china.csv,3,none,log,none,rf,random search,"['sa', 'sd']",1.593998670578003,"{'la__n_estimators': 192, 'la__min_samples_leaf': 6, 'la__min_impurity_decrease': 0.004505105742905989, 'la__max_depth': 3}",0.44460203128068665,0.45978831321826324
effort/china.csv,3,none,log,none,rf,random search,"['sa', 'sd']",2.811002492904663,"{'la__n_estimators': 192, 'la__min_samples_leaf': 6, 'la__min_impurity_decrease': 0.004505105742905989, 'la__max_depth': 3}",0.4786204035552603,0.449541042339649
effort/china.csv,3,none,log,none,rf,tpe,"['sa', 'sd']",2.3215112686157227,"{'la__max_depth': 4, 'la__min_impurity_decrease': 3.1622776601683795e-05, 'la__min_samples_leaf': 8, 'la__n_estimators': 40}",0.4238734146481026,0.4561126024029467
effort/china.csv,3,none,log,none,rf,tpe,"['sa', 'sd']",0.41399693489074707,"{'la__max_depth': 4, 'la__min_impurity_decrease': 3.1622776601683795e-05, 'la__min_samples_leaf': 8, 'la__n_estimators': 40}",0.48606706110465686,0.4529310145429676
effort/china.csv,3,none,log,none,rf,tpe,"['sa', 'sd']",0.6550004482269287,"{'la__max_depth': 4, 'la__min_impurity_decrease': 3.1622776601683795e-05, 'la__min_samples_leaf': 8, 'la__n_estimators': 40}",0.4848819794815606,0.45875149725562514
effort/china.csv,3,none,log,none,rf,nsga-ii,"['sa', 'sd']",0.16899609565734863,"{'la__n_estimators': 154, 'la__min_samples_leaf': 8, 'la__min_impurity_decrease': 0.22963335197284707, 'la__max_depth': 3}",0.4814000560192338,0.47338055132757234
effort/china.csv,3,none,log,none,rf,nsga-ii,"['sa', 'sd']",1.372586727142334,"{'la__n_estimators': 154, 'la__min_samples_leaf': 8, 'la__min_impurity_decrease': 0.22963335197284707, 'la__max_depth': 3}",0.48517580482217104,0.44695778115808027
