ds,pt,m,rank,q0,q1,q2,q3,q4
osp2,moead,GD-,1,0.0,0.008988820907507,0.0230857211542688,0.0349891096706557,0.0728508391155586
osp2,nsga-ii,GD-,2,0.0068226783279327,0.0233855497563039,0.0344520978953506,0.0676521610645092,0.1114098624088205
osp2,nsga-iii,GD-,2,0.0,0.0179780671454117,0.0368358552344748,0.067597770837238,0.2710856696706209
osp2,tpe,GD-,3,0.0095130593302978,0.0220257214036105,0.0469322036593393,0.1064094603027877,0.1396810538749153
osp2,random,GD-,4,0.0597026147464294,0.0868120160415428,0.1289952703300882,0.1748188377318306,0.2733090751678044
osp2,sway,GD-,5,0.1169822642540324,0.195555796183115,0.2419109572801984,0.3791944267615669,0.483155248741739
osp2,sway,HV+,1,445277338.3489365,3242949700.108253,5547322484.854175,8208738835.520618,43258479514.37919
osp2,random,HV+,2,730424122.2129531,5021734483.654679,9324099018.29474,16875189129.326036,40707735286.14296
osp2,nsga-iii,HV+,3,1712000943.065014,6653701159.26161,12111193689.287195,16359591287.429789,56139750630.12121
osp2,nsga-ii,HV+,3,1205101319.8865788,6950581059.401912,12154835057.297798,16437044236.256594,52984486121.74632
osp2,tpe,HV+,3,1335797768.8327374,7085783181.301783,12874319290.102629,16974101095.603634,59808335400.4284
osp2,moead,HV+,3,1469991908.5800257,7787910199.114306,13107222658.973951,18411379653.684376,56316182229.555305
osp2,random,UNFR+,1,0.0,0.0,0.0,0.0,0.0232558139534883
osp2,sway,UNFR+,1,0.0,0.0,0.0,0.0,0.0
osp2,tpe,UNFR+,2,0.0,0.0196078431372549,0.0232558139534883,0.0476190476190476,0.0862068965517241
osp2,nsga-ii,UNFR+,2,0.0,0.0172413793103448,0.0238095238095238,0.0625,0.1290322580645161
osp2,nsga-iii,UNFR+,3,0.0,0.0208333333333333,0.0338983050847457,0.0588235294117647,0.1129032258064516
osp2,moead,UNFR+,4,0.0,0.0545454545454545,0.0869565217391304,0.1176470588235294,0.1296296296296296
osp,sway,DCI+,1,0.0,0.0,0.0857142857142856,0.2799999999999999,0.4499999999999999
osp,random,DCI+,2,0.0,0.1555555555555555,0.2799999999999999,0.3999999999999999,0.7
osp,tpe,DCI+,3,0.2444444444444444,0.6363636363636364,0.711111111111111,0.8799999999999999,0.9
osp,nsga-ii,DCI+,4,0.48,0.6909090909090908,0.7818181818181816,0.8999999999999999,0.96
osp,nsga-iii,DCI+,4,0.28,0.5777777777777777,0.7999999999999999,0.8800000000000001,0.914285714285714
osp,moead,DCI+,5,0.44,0.7999999999999999,0.8285714285714285,0.925,1.0
osp,moead,GD-,1,0.0,0.0224306857322711,0.0351527657335149,0.0527532668242375,0.1439365209385892
osp,nsga-iii,GD-,2,0.0095105408422584,0.029875925437319,0.0472841197741339,0.0673851429040114,0.1149794152705591
osp,nsga-ii,GD-,2,0.0070241657949404,0.0357216628572252,0.0585328752298397,0.0848601627075983,0.1657893075036463
osp,tpe,GD-,2,0.0186128882034533,0.0436824695310807,0.0592087709968986,0.0868904497480261,0.1212695044522784
osp,random,GD-,3,0.0462682812283323,0.1088049413026299,0.1606847512493587,0.2099568259010906,0.2295958701251856
osp,sway,GD-,4,0.0781190157019973,0.1802578420840363,0.2341005418505818,0.2842491643768588,0.5464392199910048
osp,sway,HV+,1,108511398.7500217,1160656981.2008147,7021082918.350759,14471442778.464577,34976557013.47796
osp,random,HV+,2,120319245.88148588,1715837096.9228551,10425960551.522083,17828975911.455997,41826286645.52324
osp,nsga-iii,HV+,3,154915783.0261641,2200647521.078276,12084039447.367811,21854994462.23282,51136666152.04101
osp,tpe,HV+,3,104808251.23484902,2319102937.923357,12226580415.787031,19991635559.533348,48241239508.24061
osp,nsga-ii,HV+,3,123182673.23982944,2293743235.0732656,12967593509.86184,21043444685.704742,51306128970.52437
osp,moead,HV+,3,167377503.2664473,2298236415.7882085,13145025719.355532,22549944123.71048,55356113787.68407
osp,random,UNFR+,1,0.0,0.0,0.0,0.0,0.0181818181818181
osp,sway,UNFR+,1,0.0,0.0,0.0,0.0,0.0222222222222222
osp,tpe,UNFR+,2,0.0,0.0,0.0192307692307692,0.0232558139534883,0.0909090909090909
osp,nsga-ii,UNFR+,3,0.0,0.0217391304347826,0.0344827586206896,0.0545454545454545,0.1320754716981132
osp,nsga-iii,UNFR+,3,0.0,0.0192307692307692,0.0363636363636363,0.0454545454545454,0.0689655172413793
osp,moead,UNFR+,4,0.0192307692307692,0.0638297872340425,0.0888888888888888,0.1029411764705882,0.1627906976744186
