DS,Iteration,PP,DT,AS,LA,PT,PT scoring,Duration,Params,mar,sa,sd,sdar,Models built,Best params
effort/china.csv,15,none,log,none,rf,default,None,2.978482484817505,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2271.569730538922,0.41143360559473485,0.47544939612152637,2271.569730538922,,
effort/china.csv,15,none,log,none,rf,random search,"['sa', 'sd']",48.31048250198364,,2092.348593602269,0.4578700134011518,0.40292779918871174,2092.348593602269,320.0,pareto front
effort/china.csv,15,none,log,none,rf,tpe,"['sa', 'sd']",771.4225525856018,,2092.8029968308992,0.45775227698906396,0.4091116806924403,2092.8029968308992,1280.0,pareto front
effort/china.csv,15,none,log,none,rf,nsga-ii,"['sa', 'sd']",515.0710773468018,,2108.9362654370407,0.45357212807889374,0.3980928484360233,2108.9362654370407,1000.0,pareto front
effort/china.csv,15,none,log,none,rf,nsga-iii,"['sa', 'sd']",481.9272665977478,,2097.939629946363,0.4564213692949234,0.40852468471004344,2097.939629946363,1000.0,pareto front
effort/china.csv,15,none,log,none,rf,moead,"['sa', 'sd']",240.7753427028656,,2093.16696987731,0.4576579711437682,0.3865952228983998,2093.16696987731,500.0,pareto front
effort/china.csv,16,none,log,none,rf,default,None,2.9862093925476074,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2889.937530120482,0.4386977710410489,0.48997252940361,2889.937530120482,,
effort/china.csv,16,none,log,none,rf,random search,"['sa', 'sd']",120.48657941818237,,2738.3375776839216,0.4681424875187663,0.44426456797882063,2738.3375776839216,320.0,pareto front
effort/china.csv,16,none,log,none,rf,tpe,"['sa', 'sd']",1240.934616804123,,2717.902660529442,0.47211148838049855,0.47301645293473227,2717.902660529442,1280.0,pareto front
effort/china.csv,16,none,log,none,rf,nsga-ii,"['sa', 'sd']",747.6912279129028,,2701.5133700882434,0.4752947216372109,0.4624415378721167,2701.5133700882434,1000.0,pareto front
effort/china.csv,16,none,log,none,rf,nsga-iii,"['sa', 'sd']",728.956515789032,,2697.080888962627,0.47615562659093263,0.4679791159955085,2697.080888962627,1000.0,pareto front
effort/china.csv,16,none,log,none,rf,moead,"['sa', 'sd']",385.8440945148468,,2669.4371857508777,0.4815247641822174,0.4709169007786736,2669.4371857508777,500.0,pareto front
effort/china.csv,17,none,log,none,rf,default,None,2.6008212566375732,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",3229.6793975903615,0.4285570839057583,0.4434321847504198,3229.6793975903615,,
effort/china.csv,17,none,log,none,rf,random search,"['sa', 'sd']",96.18126773834229,,2911.5860275787823,0.48483889413289116,0.4250485970814376,2911.5860275787823,320.0,pareto front
effort/china.csv,17,none,log,none,rf,tpe,"['sa', 'sd']",915.9843413829803,,2897.7774793049753,0.4872821078768001,0.4253779112502162,2897.7774793049753,1280.0,pareto front
effort/china.csv,17,none,log,none,rf,nsga-ii,"['sa', 'sd']",447.511048078537,,2866.7149167157795,0.4927781584632991,0.4291207650531663,2866.7149167157795,1000.0,pareto front
effort/china.csv,17,none,log,none,rf,nsga-iii,"['sa', 'sd']",192.2424829006195,,2875.8964667680875,0.49115362206502045,0.42320410634541256,2875.8964667680875,1000.0,pareto front
effort/china.csv,17,none,log,none,rf,moead,"['sa', 'sd']",255.80370807647705,,2888.597330498464,0.4889063963458307,0.4146095155570963,2888.597330498464,500.0,pareto front
effort/china.csv,18,none,log,none,rf,default,None,2.60600209236145,"{'la__n_estimators': 100, 'la__min_samples_leaf': 1, 'la__min_impurity_decrease': 0.0, 'la__max_depth': None}",2807.3106586826357,0.428677416944399,0.46279677767157845,2807.3106586826357,,
effort/china.csv,18,none,log,none,rf,random search,"['sa', 'sd']",62.80653190612793,,2502.5383663092653,0.4907023634119339,0.45231338461237786,2502.5383663092653,320.0,pareto front
effort/china.csv,18,none,log,none,rf,tpe,"['sa', 'sd']",797.6330010890961,,2670.677120160833,0.45648403888660144,0.46567119695741876,2670.677120160833,1280.0,pareto front
effort/china.csv,18,none,log,none,rf,nsga-ii,"['sa', 'sd']",758.9179866313934,,2661.5392731068073,0.4583437042450918,0.4611211687107953,2661.5392731068073,1000.0,pareto front
effort/china.csv,18,none,log,none,rf,nsga-iii,"['sa', 'sd']",362.4720003604889,,2624.0425464570935,0.46597475379045883,0.4376868156570385,2624.0425464570935,1000.0,pareto front
