pt,m,val,rank
moead,MMRE-,1.19275448662651,1.0
moead,MMRE-,1.14367860053897,1.0
moead,MMRE-,1.14367860053897,1.0
moead,MMRE-,1.39458877789942,1.0
moead,MMRE-,1.39458877789942,1.0
moead,MMRE-,1.05726380151432,1.0
moead,MMRE-,1.05726380151432,1.0
moead,MMRE-,1.37639878950664,1.0
moead,MMRE-,1.37639878950664,1.0
moead,MMRE-,1.42125984539718,1.0
moead,MMRE-,1.42125984539718,1.0
moead,MMRE-,1.22586310259129,1.0
moead,MMRE-,1.22586310259129,1.0
moead,MMRE-,1.42050883738848,1.0
moead,MMRE-,1.42050883738848,1.0
moead,MMRE-,0.95944365756057,1.0
moead,MMRE-,0.95944365756057,1.0
moead,MMRE-,1.21895061929886,1.0
moead,MMRE-,1.21895061929886,1.0
moead,MMRE-,1.17517206564182,1.0
moead,MMRE-,1.17517206564182,1.0
moead,MMRE-,1.33275996506049,1.0
moead,MMRE-,1.33275996506049,1.0
moead,MMRE-,1.21753975060699,1.0
moead,MMRE-,1.21753975060699,1.0
moead,MMRE-,1.7823221951305,1.0
moead,MMRE-,1.7823221951305,1.0
moead,MMRE-,1.02925011830045,1.0
moead,MMRE-,1.02925011830045,1.0
moead,PRED25+,0.215568862275449,1.0
moead,PRED25+,0.215568862275449,3.0
moead,PRED25+,0.204819277108434,1.0
moead,PRED25+,0.204819277108434,3.0
moead,PRED25+,0.144578313253012,1.0
moead,PRED25+,0.144578313253012,3.0
moead,PRED25+,0.245508982035928,1.0
moead,PRED25+,0.245508982035928,3.0
moead,PRED25+,0.186746987951807,1.0
moead,PRED25+,0.186746987951807,3.0
moead,PRED25+,0.204819277108434,1.0
moead,PRED25+,0.204819277108434,3.0
moead,PRED25+,0.191616766467066,1.0
moead,PRED25+,0.191616766467066,3.0
moead,PRED25+,0.186746987951807,1.0
moead,PRED25+,0.186746987951807,3.0
moead,PRED25+,0.186746987951807,1.0
moead,PRED25+,0.186746987951807,3.0
moead,PRED25+,0.221556886227545,1.0
moead,PRED25+,0.221556886227545,3.0
moead,PRED25+,0.192771084337349,1.0
moead,PRED25+,0.192771084337349,3.0
moead,PRED25+,0.156626506024096,1.0
moead,PRED25+,0.156626506024096,3.0
moead,PRED25+,0.191616766467066,1.0
moead,PRED25+,0.191616766467066,3.0
moead,PRED25+,0.210843373493976,1.0
moead,PRED25+,0.210843373493976,3.0
